order_id,customer_id,order_date,product_category,product_name,quantity,unit_price,discount,city,payment_method,delivery_days,customer_rating
,CUST5,2024-04-12,Home,Laptop,,245.76,0,Pune,UPI,3,3
ORD1001,CUST34,2024-12-14,Clothing,Blender,4,270.97,0,Chennai,Card,,4
ORD1002,CUST47,2024-09-27,Clothing,Face Cream,3,35.39,0,Chennai,Card,1,
ORD1003,CUST48,2024-04-16,Electronics,,2,174.94,0,Pune,UPI,1,4
ORD1004,CUST4,2024-03-12,Sports,,5,75.86,5,,UPI,3,4
ORD1005,,2024-07-07,Home,Dumbbells,,41.05,5,,Card,,
ORD1006,CUST23,2024-01-21,Electronics,Blender,1,495.08,20,Hyderabad,,2,3
ORD1007,CUST12,2024-04-12,Clothing,T-shirt,,167.95,15,Hyderabad,Card,3,1
ORD1008,CUST39,2024-05-01,,Headphones,5,406.84,0,Delhi,UPI,1,4
ORD1009,CUST11,2024-08-02,Clothing,,,134.77,0,Bangalore,NetBanking,1,
ORD1010,CUST51,2024-11-26,Electronics,,4,343.94,0,Mumbai,UPI,,2
ORD1011,CUST18,2024-03-28,,,3,382.51,5,Hyderabad,UPI,,4
,,2024-04-09,,Shoes,2,301.86,0,Chennai,UPI,1,2
ORD1013,CUST9,2024-12-25,Clothing,,,241.07,10,Delhi,Card,,3
ORD1014,CUST37,2024-05-31,Sports,Laptop,5,211.8,,Mumbai,,4,1
ORD1015,CUST19,2024-05-10,Beauty,Watch,1,180.95,5,Delhi,UPI,7,3
ORD1016,,2024-05-29,Clothing,Blender,1,465.47,5,Mumbai,NetBanking,3,4
,CUST38,2024-11-04,Sports,T-shirt,2,417.0,,Mumbai,Card,3,3
ORD1018,CUST20,2024-09-14,Clothing,Watch,5,482.86,,Pune,Card,3,4
ORD1019,CUST42,2024-12-09,Sports,Face Cream,,70.91,15,Hyderabad,Card,4,
ORD1020,CUST7,2024-10-20,Sports,Headphones,1,368.13,0,Delhi,UPI,1,
ORD1021,CUST1,2024-07-10,Home,Laptop,3,469.79,20,Delhi,UPI,1,2
ORD1022,CUST1,2024-10-03,Electronics,T-shirt,2,98.8,5,Pune,NetBanking,2,3
ORD1023,CUST6,2024-06-09,Beauty,Watch,,42.58,20,,UPI,4,2
ORD1024,CUST51,2024-11-09,Clothing,Headphones,5,373.15,15,Chennai,,2,
ORD1025,CUST41,2024-01-22,Electronics,Shoes,5,291.49,5,,Card,4,
ORD1026,CUST2,2024-09-09,Electronics,Laptop,3,422.5,0,Hyderabad,NetBanking,,3
ORD1027,CUST7,2024-08-23,Home,Laptop,2,78.49,0,Hyderabad,Cash,1,5
ORD1028,CUST52,2024-12-10,Sports,Shoes,2,399.68,5,Bangalore,Cash,4,3
ORD1029,CUST4,2024-02-18,Electronics,Blender,1,108.8,10,Pune,Cash,3,4
ORD1030,CUST12,2024-02-28,Home,,5,90.19,0,Chennai,Cash,7,1
ORD1031,CUST4,2024-06-18,Clothing,Laptop,5,90.49,0,Mumbai,UPI,2,4
ORD1032,CUST57,2024-07-06,Sports,Laptop,,,15,Delhi,Card,4,2
ORD1033,CUST22,2024-09-27,Electronics,Watch,,335.95,,Hyderabad,Card,5,5
ORD1034,CUST23,2024-07-08,Sports,,3,266.3,5,Delhi,NetBanking,,4
ORD1035,CUST37,2024-06-23,Clothing,Headphones,4,185.83,0,Delhi,UPI,4,4
ORD1036,CUST25,2024-02-20,,Shoes,,439.83,0,Bangalore,Cash,3,
ORD1037,CUST41,2024-12-29,Electronics,Headphones,5,202.3,0,Chennai,UPI,4,3
ORD1038,CUST18,2024-02-24,Clothing,Shoes,2,410.13,,Hyderabad,Card,7,3
ORD1039,CUST50,2024-08-31,Electronics,Face Cream,3,225.18,0,,Card,3,3
ORD1040,CUST57,2024-11-15,,Laptop,1,194.7,5,,,1,1
,CUST11,2024-05-10,Beauty,,,236.71,0,Mumbai,UPI,,
ORD1042,CUST59,2024-11-02,Clothing,Watch,3,157.68,5,Bangalore,Card,4,4
ORD1043,CUST54,2024-05-14,Sports,,2,376.33,10,Mumbai,UPI,4,3
ORD1044,CUST51,2024-01-21,Beauty,,4,256.33,15,Hyderabad,Card,2,3
ORD1045,CUST40,2024-11-24,Home,,3,123.78,0,,UPI,4,3
ORD1046,CUST34,2024-06-15,Home,Headphones,2,450.79,0,Hyderabad,Card,3,4
ORD1047,,2024-09-30,Clothing,Shoes,1,198.11,0,Chennai,Cash,4,3
ORD1048,CUST32,2024-03-29,Electronics,Speaker,4,276.34,,Delhi,Card,1,
ORD1049,CUST5,2024-11-11,Beauty,Face Cream,3,454.17,20,Delhi,UPI,4,3
ORD1050,CUST15,2024-01-14,,T-shirt,4,315.88,5,Mumbai,Card,,
ORD1051,,2024-08-29,Sports,,3,67.28,10,Bangalore,Card,1,5
ORD1052,CUST18,2024-09-21,Clothing,Blender,5,470.52,10,,UPI,,2
ORD1053,CUST45,2024-12-11,Clothing,Headphones,3,317.58,0,Pune,UPI,3,
ORD1054,CUST29,2024-02-22,Sports,Watch,3,174.1,,Delhi,UPI,7,
ORD1055,CUST35,2024-12-05,Beauty,T-shirt,5,78.24,,Chennai,Card,5,5
ORD1056,CUST6,2024-04-01,Beauty,Speaker,2,399.07,0,Mumbai,UPI,3,3
ORD1057,CUST38,2024-09-20,Beauty,Blender,1,313.84,5,Mumbai,NetBanking,4,5
ORD1058,CUST47,2024-02-04,Sports,Speaker,1,271.4,0,Pune,Cash,7,5
ORD1059,,2024-07-24,Electronics,T-shirt,4,448.01,0,Chennai,Card,3,5
ORD1060,CUST36,2024-03-21,Electronics,,3,,10,Bangalore,UPI,2,4
ORD1061,CUST58,,Beauty,Blender,4,84.32,0,Chennai,Card,4,3
ORD1062,CUST12,2024-12-25,Sports,Speaker,2,162.74,10,Bangalore,Card,5,1
ORD1063,CUST14,2024-01-02,Electronics,Watch,1,131.76,0,Chennai,,5,
ORD1064,CUST28,2024-02-23,Electronics,Shoes,1,374.53,0,Chennai,Card,,2
ORD1065,CUST14,2024-04-15,Sports,Laptop,2,26.43,0,Hyderabad,UPI,3,4
ORD1066,CUST32,,Electronics,Shoes,,289.25,0,Mumbai,UPI,5,3
ORD1067,CUST49,2024-11-05,Electronics,T-shirt,2,383.6,10,Chennai,Cash,1,
ORD1068,CUST31,2024-07-09,Home,Headphones,2,439.62,0,Pune,UPI,3,4
ORD1069,CUST20,2024-08-05,Sports,Laptop,,177.62,5,Chennai,Card,1,
ORD1070,CUST13,2024-02-13,Sports,Face Cream,2,412.42,5,Delhi,Card,2,2
,CUST4,2024-06-10,Clothing,Watch,3,64.21,10,Mumbai,UPI,3,5
ORD1072,,2024-07-20,Sports,Face Cream,4,424.76,,Delhi,Card,3,
ORD1073,CUST39,2024-09-26,Clothing,Blender,2,72.47,10,Mumbai,UPI,4,3
ORD1074,CUST42,2024-12-16,Clothing,Laptop,3,204.67,0,Delhi,Card,3,4
ORD1075,CUST45,2024-10-30,Sports,Face Cream,5,400.67,0,Chennai,Card,3,4
ORD1076,CUST36,2024-09-27,,Face Cream,,83.46,0,Chennai,UPI,2,2
ORD1077,CUST18,2024-08-02,Beauty,Speaker,1,122.33,5,Hyderabad,Card,3,3
ORD1078,CUST49,2024-09-08,Sports,Shoes,,363.9,0,Pune,UPI,2,3
ORD1079,,2024-07-08,Home,Speaker,3,362.82,5,Delhi,UPI,1,2
ORD1080,CUST59,2024-10-22,Electronics,Laptop,,324.16,5,Bangalore,Cash,4,
ORD1081,CUST50,2024-07-31,Clothing,Laptop,3,350.03,0,Hyderabad,Card,4,1
ORD1082,CUST37,2024-07-26,,T-shirt,,275.93,15,Delhi,Card,4,1
ORD1083,CUST21,2024-08-24,Clothing,Speaker,3,133.38,0,Delhi,Card,3,2
ORD1084,CUST14,2024-12-03,,Dumbbells,2,179.39,0,Hyderabad,UPI,3,
ORD1085,CUST29,2024-02-22,Clothing,Shoes,3,98.98,10,Chennai,Cash,7,3
ORD1086,CUST9,2024-10-06,Beauty,Laptop,2,455.14,5,Delhi,Card,3,
ORD1087,CUST22,2024-08-04,Sports,T-shirt,1,295.86,10,Chennai,NetBanking,3,3
ORD1088,CUST18,2024-09-08,Beauty,Speaker,1,206.42,5,Hyderabad,Card,1,3
ORD1089,CUST19,,Home,Shoes,1,236.38,0,Chennai,UPI,2,3
ORD1090,CUST50,2024-02-10,Home,Speaker,1,474.17,15,Mumbai,,3,3
ORD1091,CUST13,2024-06-05,,Face Cream,,85.14,,Bangalore,NetBanking,,2
ORD1092,CUST57,2024-01-15,Electronics,T-shirt,3,297.25,10,,Cash,3,
ORD1093,CUST31,2024-10-27,Sports,Shoes,1,257.89,0,Delhi,Cash,,2
ORD1094,CUST57,2024-03-05,Clothing,,2,309.61,5,Pune,Card,4,4
ORD1095,CUST57,2024-12-10,Electronics,,5,18.87,0,Bangalore,Cash,5,4
ORD1096,CUST26,2024-11-22,,Blender,3,437.34,0,,Card,5,2
ORD1097,CUST56,2024-01-09,Electronics,Shoes,4,466.74,,Chennai,NetBanking,4,1
ORD1098,CUST30,2024-12-09,,Speaker,1,286.92,0,Delhi,UPI,,4
ORD1099,CUST20,2024-05-08,,,1,351.36,,Chennai,Cash,1,3
ORD1100,CUST40,2024-05-15,,Blender,1,,5,Mumbai,,2,1
ORD1101,CUST52,2024-03-03,Clothing,T-shirt,,356.55,0,Hyderabad,UPI,1,
ORD1102,CUST28,2024-05-18,Electronics,Blender,2,84.74,5,Delhi,UPI,4,1
ORD1103,CUST3,2024-03-21,,,1,292.38,20,,Cash,,4
ORD1104,CUST30,2024-06-11,Home,Speaker,,307.29,10,,Card,2,
ORD1105,CUST50,2024-10-15,,Face Cream,1,217.82,15,Mumbai,Card,,2
